Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Mileage_per_Year,Log_Selling_Price,Log_Kms_Driven,Age_Group
2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,12,2250.0,1.208960345836975,10.203592144986466,Old
2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,13,3307.6923076923076,1.55814461804655,10.668955394675699,Old
2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,9,766.6666666666666,1.9810014688665833,8.83927669058535,Medium
2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,15,346.6666666666667,1.0473189942805592,8.556413904569519,Old
2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,12,3537.5,1.5260563034950492,10.656082191739493,Old
2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,8,258.875,2.224623551524334,7.635786861395585,Medium
2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,11,1708.7272727272727,1.9095425048844386,9.841399360222706,Old
2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,11,3039.0,1.8718021769015913,10.417179065715164,Old
2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,10,2027.3,2.169053700369523,9.917045230468194,Medium
2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,11,3851.5454545454545,2.0082140323914683,10.654125036299098,Old
2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9,237.22222222222223,1.0473189942805592,7.666221925662725,Medium
2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,11,4636.363636363636,1.9242486522741338,10.839580911706463,Old
2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,11,1363.6363636363637,2.0149030205422647,9.615805480084347,Old
2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,11,2363.6363636363635,1.8082887711792655,10.165851817003619,Old
2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,17,4554.529411764706,0.8109302162163288,11.257090835957568,Old
2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,4300.0,2.0476928433652555,10.668955394675699,Medium
2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11,3788.909090909091,1.9810014688665833,10.637728690631034,Old
2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,4300.0,2.0476928433652555,10.668955394675699,Medium
2015,3.25,5.09,35500,CNG,Dealer,Manual,0,11,3227.2727272727275,1.1786549963416462,10.477287975463508,Old
2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,16,2590.125,0.9745596399981308,10.632050138317028,Old
2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10,2500.0,1.0473189942805592,10.126631103850338,Medium
2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,9,266.6666666666667,1.589235205116581,7.783224016336037,Medium
2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,15,3333.3333333333335,1.4816045409242156,10.819778284410283,Old
2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,12,3773.3333333333335,0.9162907318741551,10.720620712877064,Old
2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,13,4375.307692307692,1.0647107369924282,10.948681483450565,Old
2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,15,1333.3333333333333,1.0986122886681098,9.903487552536127,Old
2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,13,4241.384615384615,1.423108334242607,10.917594412610574,Old
2017,6.0,6.49,16200,Petrol,Individual,Manual,0,9,1800.0,1.791759469228055,9.692766521220475,Medium
2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,16,2783.875,0.6678293725756554,10.704187843260796,Old
2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,11,4090.909090909091,2.0082140323914683,10.714417768752456,Old
2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,14,3674.214285714286,1.1314021114911006,10.848151918598122,Old
2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,15,3613.3333333333335,0.8544153281560676,10.900436187427738,Old
2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,12,3250.0,1.599387576580599,10.571316925111784,Old
2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,12,3750.0,1.791759469228055,10.714417768752456,Old
2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,12,3750.0,1.7047480922384253,10.714417768752456,Old
2011,2.95,7.74,49998,CNG,Dealer,Manual,0,15,3333.2,1.0818051703517284,10.819738283610262,Old
2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,11,4433.363636363636,1.536867219599265,10.794809133586739,Old
2003,0.35,2.28,127000,Petrol,Individual,Manual,0,23,5521.739130434783,-1.0498221244986778,11.751942365440728,
2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10,1007.9,1.0986122886681098,9.218209330354878,Medium
2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,23,2695.6521739130435,0.8109302162163288,11.03488966402723,
2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,10,2452.4,1.766441661243765,10.107407508882579,Medium
2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,12,3892.1666666666665,0.9360933591703348,10.751627915061572,Old
2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,18,3222.222222222222,0.6678293725756554,10.968198289528557,Old
2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,12,3815.0,1.7047480922384253,10.731602593506558,Old
2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,14,3571.4285714285716,0.22314355131420976,10.819778284410283,Old
2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,12,1250.0,2.0149030205422647,9.615805480084347,Old
2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,13,4964.0,0.9745596399981308,11.074916503786035,Old
2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,20,3250.0,0.04879016416943204,11.082142548877775,Old
2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,11,2351.818181818182,1.7578579175523736,10.160839275180075,Old
2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,9,4111.111111111111,2.0476928433652555,10.51867319162636,Medium
2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,14,7479.071428571428,2.7013612129514133,11.558921252312388,Old
2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,11,3636.3636363636365,3.1354942159291497,10.596634733096073,Old
2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,9,1666.6666666666667,2.8903717578961645,9.615805480084347,Medium
2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,13,10384.615384615385,2.772588722239781,11.813030057420567,Old
2005,2.75,10.21,90000,Petrol,Individual,Manual,0,21,4285.714285714285,1.0116009116784799,11.407564949312402,
2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,17,4117.64705882353,1.2809338454620642,11.156250521031495,Old
2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,11,3684.909090909091,1.5040773967762742,10.609896407079258,Old
2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,16,3125.0,1.55814461804655,10.819778284410283,Old
2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,12,3290.4166666666665,1.410986973710262,10.583676131931682,Old
2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,12,3416.6666666666665,2.995232148512309,10.621327345686446,Old
2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,13,3077.0,1.9387416595767009,10.596659732783579,Old
2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,11,3689.818181818182,1.5040773967762742,10.611227735398973,Old
2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,12,6500.0,2.9311937524164198,11.26446410567173,Old
2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,11,4272.727272727273,3.1570004211501135,10.757902880692196,Old
2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,9,666.6666666666666,3.4965075614664802,8.699514748210191,Medium
2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,12,3750.0,1.55814461804655,10.714417768752456,Old
2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,9,1222.2222222222222,2.9831534913471307,9.305650551780507,Medium
2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16,3687.5,2.224623551524334,10.985292722887856,Old
2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15,5866.666666666667,1.4701758451005926,11.385092093460344,Old
2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,10,1200.0,2.6567569067146595,9.392661928770137,Medium
2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,12,5916.666666666667,1.3737155789130306,11.170435156023453,Old
2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,15,3000.0,1.5040773967762742,10.714417768752456,Old
2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,13,4307.7692307692305,2.0082140323914683,10.933124826700707,Old
2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15,2866.6666666666665,0.9745596399981308,10.668955394675699,Old
2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,12,6916.666666666667,1.589235205116581,11.326595886778735,Old
2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,11,3272.7272727272725,1.3737155789130306,10.491274217438248,Old
2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,13,5538.461538461538,1.7047480922384253,11.184421397998193,Old
2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22,6143.363636363636,0.4054651081081644,11.814170148010977,
2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16,5000.0,1.6582280766035324,11.289781913656018,Old
2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14,6357.142857142857,2.6741486494265287,11.396391648714276,Old
2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,10,2300.0,2.689886230474539,10.043249494911286,Medium
2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,11,3636.3636363636365,1.55814461804655,10.596634733096073,Old
